# g,r,e,s,t,l,o
-8.084047719145106559e-01,1.182388486477414569e+00,1.528167842555595846e-01,1.232178049249750273e+00,6.284325138505671982e-01,-2.686313450768269481e-02,6.764753906856160182e-01
-3.398246581114693909e-01,8.937713001883546005e-01,1.674770948307105767e-01,1.859090775838725673e-01,8.668627609807189049e-03,9.657774089172181942e-01,2.768677026784245876e-01
-3.776034216528461052e-01,-5.813126118492200067e-01,-5.166248199459836377e-01,-5.986435633637247067e-01,-5.716623361843874429e-01,-6.443644566602195756e-01,-5.084566722366725688e-01
4.577422355302114276e-01,-3.976506781423932990e-01,9.375493208328755657e-02,3.671291367650038606e-01,2.630020124004069926e-01,2.484379845321766922e-01,1.364443929435057989e-01
4.637127334046418636e-01,-3.615231625434860430e-01,7.118036823608174524e-02,1.530536302974026264e-01,3.167559555238532720e-01,-3.556829669940330275e-03,1.146418519653366885e-01
-8.534054980782551647e-01,-7.472167660004161993e-01,-8.226481802280035671e-01,1.692759732380916260e+00,3.850036891295848251e-01,-1.790755689787097760e+00,5.222153578071265789e-01
-5.656178059423621063e-01,-3.498490145674204133e+00,-2.172425237397093589e+00,-4.416401999131870926e-01,-1.320254698297490759e+00,1.943575399496304756e+00,1.315088624690568531e-01
-4.620669972123329083e-01,1.045346943111068905e+00,2.425152435451659871e-01,2.907058554592907851e-01,3.204589535111327936e-01,1.753559638245920649e+00,7.628490109300403166e-01
8.887707769332763019e-02,-1.643671065070549719e+00,-7.687979745896756922e-01,-3.350566586911037925e-01,-4.961462600006274482e-01,-3.510671917282990884e-01,-3.107591458304821419e-01
-4.573229939503419827e-01,-7.366102708920250208e-01,-5.512341763568056052e-01,1.131526348373717683e+00,1.770478709586568722e-01,-2.994102357294832206e-01,4.725689639647357998e-01
1.372576924743086624e-01,-6.557892444638635521e-01,-1.848983478801040636e-01,2.359662524126002747e-01,-1.442975266667009121e-02,-2.612216780553662243e-01,1.075646362568127845e-03
-1.182867370876179713e-01,1.759833825051966061e+00,7.938916132872129161e-01,1.719415891668214735e+00,1.218693573572018796e+00,8.981389852602962298e-01,9.431642182435476807e-01
8.353611971185169738e-01,-2.115738916983803675e-01,4.925844055339942962e-01,6.188384532505463165e-01,5.793913478901071556e-01,1.469296477484134833e+00,8.479468772834186652e-01
-4.399297704738429071e-01,5.181890882615103333e-01,-1.555254286345742615e-02,4.275658583211325858e-01,2.471583556073352617e-01,5.527793655318959942e-01,5.046780334236194987e-01
1.602947121318149204e+00,5.641799959483813076e-01,9.647511278368985366e-01,4.513136940563615696e-01,7.277164330343834919e-01,9.519818816002905137e-01,3.257493899955098970e-01
1.685110745348523953e-01,-8.763179740661000694e-02,2.366317865887868077e-01,-1.698684993630142706e-02,3.181895723939015541e-02,-7.477498184329294251e-01,-2.055135532886462335e-01
-2.130734101825144666e-01,9.090723755559866337e-01,2.997336954749214022e-01,-1.407187553122914332e-02,2.765222504206060750e-01,-1.582346467277055135e-01,2.590485040042857234e-02
4.506835844084347564e-01,-3.641593870532625621e-01,4.810323651940714290e-02,-2.001044400395377010e-01,-3.929163259762224331e-02,-5.776844210026076398e-01,-3.461571870565149367e-01
-1.073224425113049385e+00,-4.056243396551126867e-01,-8.207924276649163353e-01,-2.595285435088278359e+00,-1.774061440482263663e+00,-6.540645822185965352e-01,-1.424714614502023746e+00
1.506876872528166433e-01,-1.004515675081345760e+00,-6.125481288599163854e-01,-4.545703825902603912e-01,-4.359553275571805830e-01,-2.443872244391562532e-01,-3.144595662923909130e-01
-5.173897688786173177e-01,5.029743566937345811e-01,-4.106322015992012325e-02,-1.529076820746648968e+00,-7.800602452940912368e-01,-4.804465375008666883e-01,-9.339106159941781282e-01
1.186182326679540155e+00,1.700418523816089156e+00,1.363340269888229095e+00,2.663912059661004417e-01,7.177675834526353604e-01,-2.152000855577672400e+00,-3.254082328958106674e-01
3.121027459601866116e+00,-3.631705257389325481e-01,1.435755342543007851e+00,-2.578398751855175974e-01,6.317671130894700893e-01,-7.474250097464999465e-01,-3.021433092791256381e-01
-8.240662696302868129e-02,2.191279113840207682e+00,9.237624213770565529e-01,-7.084762377513226239e-01,1.804755764717496380e-01,9.207918755028438040e-02,-3.580690851513216311e-01
-4.136775782446276417e-01,5.536067690564723254e-01,1.452726405920130026e-01,-4.603465063117837541e-01,-2.332662909100750304e-01,1.641327389620337307e+00,1.322927335401735960e-01
7.078611429068893957e-01,-1.521535188027479224e+00,-3.907814741111282353e-01,9.199082977002529526e-01,1.190137963597031612e-01,-7.026289084939936203e-01,3.473084020044883147e-01
-7.401636250208183387e-01,-1.950943451647123988e-02,-3.814687015868438169e-01,-4.549107752652326031e-01,-5.069377350315557029e-01,1.896853430762977188e+00,2.825161632094057573e-01
-8.648959386271038996e-01,8.709486817788296698e-01,5.945403692759828815e-03,-3.566608251172716931e-02,-1.184618536344076989e-01,1.172476144588392666e+00,2.503763763728604208e-01
2.972205235363634568e+00,1.371370141143542831e+00,2.196076022585015330e+00,1.812724286127717299e+00,2.013720606759206166e+00,1.326929032011171516e+00,1.281636343494459318e+00
1.043422326482790652e+00,6.397529883613251034e-01,8.652925209452906330e-01,-3.989532147286618535e-01,4.519460155059222828e-01,2.357037367246514747e-01,-5.154666335758026352e-02
3.096912900827577739e-02,-5.804051734280141206e-01,-2.212346870975041291e-01,-3.677668026777908272e-01,-2.514501184180693016e-01,-8.901918731468658752e-01,-6.135066315131668668e-01
9.588682816012959742e-02,8.660735210124775874e-02,9.680310999565981678e-02,3.266325886743406265e-02,-1.201449552235189233e-01,3.618002534999200659e-01,9.506320306492148375e-02
-2.162129546273487968e+00,-9.847673513657356770e-01,-1.670205760551316532e+00,4.766026981205624957e-01,-6.528647433034512337e-01,2.055333983037684220e+00,7.768754660008950763e-01
1.482443391786512299e+00,7.073077002455611106e-01,1.053853341805041088e+00,6.551226336119622129e-01,9.163950066854711363e-01,1.020966489261891263e+00,6.562246013819329482e-01
-1.746319168261213917e-01,1.899604096006372034e-01,-5.324069905116018964e-02,4.961161550704484835e-01,2.118038888318771185e-01,1.039819594199415054e+00,3.503892497368238379e-01
-1.301213815181041733e+00,8.640770557556041176e-01,-2.707690285690921850e-01,-7.610738994815807734e-02,-1.926421363401697728e-01,1.366757105782928361e-01,-2.069597311585373925e-02
1.249816180639054419e+00,2.897407752045308427e-01,5.316132288164521214e-01,-1.092309728992087114e+00,-2.871859493785751671e-01,1.851137375907676796e+00,-1.180850622024544327e-02
-2.519949024024114692e+00,9.903360089566461133e-02,-1.173536872522992214e+00,2.808831700485280081e+00,8.002987023424444901e-01,-1.370170384232053840e+00,1.025831501313285932e+00
3.017447539468011364e+00,4.409729201062571602e-01,1.812016149367499773e+00,7.543980264928872304e-01,1.226476534582414013e+00,-4.979514285677054120e-01,1.812083239389076228e-01
-2.169577394440876661e-01,-5.461958530904857945e-01,-2.596734383411068992e-01,-1.519072218578676026e+00,-8.653442620017910425e-01,6.233651775582421672e-01,-5.467293887772692873e-01
6.962207821637115268e-01,4.479652503599815261e-01,6.185003472584588158e-01,7.404612020676442086e-01,8.163804647863062147e-01,-4.523671624355958265e-01,3.054958124977267264e-01
-7.100994210105940896e-01,9.490299158511329713e-02,-2.210567988859025723e-01,1.735229846578043578e+00,6.412362501935617853e-01,-1.341779923241105399e+00,7.052321722958680983e-01
1.445346747362067363e-01,1.370278919914871496e+00,7.614294171313369386e-01,-2.158573564366738917e-01,1.488363413143579117e-01,-5.629761406473403618e-01,-2.355129636187271724e-01
-1.957866892153657501e+00,5.996954366278105519e-01,-5.990118750810448089e-01,6.538503439061666977e-01,-2.520380985710910654e-02,-1.859484571534022246e+00,-1.446369184563053301e-01
5.935937529586594597e-01,-9.055405492976859039e-01,-6.973092931229384062e-02,6.530270626115635135e-01,3.106798885092004192e-01,-9.767434490458600793e-01,-1.253848473664637142e-01
4.575686088015662456e-01,-8.290810564266516414e-01,-2.507275039471454359e-01,-1.660523298904252876e-01,-4.366120261722327145e-01,5.878152621817371859e-01,1.173806306520020215e-01
5.337894122560754573e-01,-1.371439003090098308e-01,3.891950167316977072e-01,3.447547370824966539e-01,4.210181842340374181e-01,-1.120007213899781195e+00,-2.098601298193857878e-01
-3.305380882575246759e-01,-3.923322598464666633e-02,-4.902493656707958003e-01,3.063493768103734971e-01,-5.095923999383231151e-02,1.432913769999406117e+00,5.471775396793878699e-01
-4.390664081379620498e-01,2.108043017217916759e+00,7.589322415909249830e-01,-9.803372013511431060e-01,-1.523717950027360102e-01,7.394033416144100146e-01,-5.338607911533510553e-01
-1.486421438292822861e-01,-1.720638814948906303e-01,-1.618186252834506733e-01,-2.728634012047537194e-01,-1.605579570695536140e-01,4.229041124817936592e-01,-5.315296446019247834e-02
1.250816741318728553e+00,-4.044459894275215239e-01,2.695336709373202799e-01,2.621378959394118913e-01,1.557689297973217646e-01,-1.076127896674434065e-01,1.910871427911109699e-01
2.123928865588836090e-01,8.535059398690385546e-01,5.781153398527379972e-01,-3.092577931611988906e-01,1.031200400488826302e-01,1.249784632365992465e+00,1.047668779153960172e-01
5.628041955994584900e-01,1.649095368159427144e+00,1.131553459017071050e+00,-1.067486503649335838e-01,5.970517980345911857e-01,1.477704907260831424e-01,1.562204319366629346e-02
-1.291481610381785439e+00,2.795580290280900826e+00,7.247469804088373380e-01,1.983516973325657740e-01,3.534292390646080473e-01,2.231496092157646827e-01,1.633787662054592971e-01
-1.067364913014606564e+00,9.493039998413581593e-01,-1.282681287175813645e-01,-1.896377429074710852e+00,-8.181055844605631400e-01,-4.429732825302001159e-02,-9.659834720977238387e-01
1.984373113317387194e+00,-4.094858149507164535e-01,6.255196230669219926e-01,6.630487225204292345e-01,6.988276992976385493e-01,-2.446488007190251446e-01,2.171089004288323521e-01
-4.440907770391091525e-01,1.872961186628947949e+00,8.473422332083413444e-01,-1.310368466697865664e+00,-3.331066757902636510e-01,9.585730742381572134e-02,-7.128455691131473371e-01
2.175928915038251310e-01,2.708715350321538873e-01,2.282602150611275360e-01,-1.112302803498161685e+00,-4.805672351333079573e-01,-1.015008867791542257e-01,-5.278397628169385625e-01
-4.892322137996119036e-01,-9.447556681158694181e-01,-7.027869114820716190e-01,-1.425547463162271544e+00,-9.250219561754966513e-01,-1.416712453483758516e+00,-9.587838841443476756e-01
7.312058439245919805e-01,-2.280271951246341522e-01,3.400276450216067059e-01,-6.600385063542639763e-01,-2.410733175822363517e-01,-9.721219567792923621e-01,-5.449198282753080491e-01
-8.672030399230685749e-01,-8.069318294697362670e-02,-3.988584694245726481e-01,1.728095929824097765e-01,-9.922804300316491466e-02,-1.640497972084837608e+00,-2.390214516334329686e-01
8.352631523181396345e-01,-4.659371559061238899e-01,3.529929071768898030e-01,-3.063249536254781802e-01,-1.427312774980429855e-01,-7.547296603976938467e-01,-3.166991075946393175e-01
-1.399731671148869205e+00,1.513007497499695153e-01,-8.083982495049113481e-01,2.176969711899346738e+00,6.695921096648359550e-01,3.037536511503770298e-02,1.056887052269792182e+00
-1.808950346034582726e-02,-7.429017763042521372e-01,-4.762405031651643084e-01,5.417603576626623951e-01,1.658890479030590837e-01,2.204890145378664845e-01,1.866601623187530978e-01
3.800311582995264947e-01,8.018286934132797805e-01,5.686276977041307967e-01,-6.474569294129095542e-01,4.269672716037881122e-02,-1.111574130855936815e+00,-4.144270639339921458e-01
-6.059129585564695386e-01,-1.624114410301547906e+00,-1.075432872719366717e+00,-3.020612788968154994e-01,-5.856804860270954372e-01,-3.848260512956404034e-01,-1.932576470260486123e-01
7.389923622807950121e-01,-1.401073153244320801e+00,-3.897510870583577591e-01,-9.447050841339464933e-01,-6.113368516227278837e-01,1.630031152650093906e+00,-2.876440573024979797e-01
7.017785404660270565e-01,-3.333586309963026406e-01,2.126960731476956745e-01,-5.523837988400092649e-04,1.921086193847225676e-01,6.011078291564613263e-01,6.478772041699229489e-02
1.280718137406853918e+00,-6.063175289812756663e-01,3.862213060665251607e-01,5.343072492974737520e-01,5.208577741699478292e-01,7.556491815247222688e-01,6.353566611372194473e-01
-2.190382574019935635e+00,-4.859858292288486425e-01,-1.325943894224111297e+00,1.310023145239680664e+00,-2.883122209417543144e-02,-5.646591363019376475e-01,7.401973158698303967e-01
4.000015871309112736e-01,1.142398487451055766e+00,8.271425091429619458e-01,-9.234237613083792207e-01,-1.086837149475954889e-01,-8.011288235284846904e-01,-6.790422479122408816e-01
7.363626583399067727e-01,1.785542672601686975e+00,1.131350249162942800e+00,-6.515100466547553426e-02,4.609714425293810480e-01,-8.613274308394679168e-02,-1.653571938697086519e-01
2.078777870797255678e-01,-5.968350475755920259e-01,-2.230506355752206460e-01,1.772351234591909686e+00,7.191436503625248111e-01,-4.030069212052480032e-01,6.112132979082796069e-01
-1.443700526215115354e-01,2.852922142843759556e-01,3.256510698122969810e-02,6.163354139873301607e-01,3.441624373000889969e-01,-9.417018248209880760e-01,-9.740649054178113220e-02
8.295464411226051438e-02,9.191548594928867777e-01,5.182505773724650489e-01,-1.307062269245904629e+00,-4.527604555860591518e-01,-2.634638645821946734e-01,-5.985514979745170105e-01
1.358295289134230366e+00,5.829176674805741643e-01,1.134734647449992861e+00,2.441193729790282152e+00,1.735982181557486737e+00,-1.103379126545357414e+00,8.830557741584440512e-01
-2.122909113964637662e+00,-1.546938716097378874e+00,-1.844023361817278994e+00,2.172767846659474367e-01,-8.593576464303132045e-01,-4.197840034717204016e-01,-8.334219451017475799e-02
3.397727120193786421e-01,-9.306143800725478199e-01,-2.966057444985841229e-01,1.961680895911958877e-01,-1.415719710375168416e-02,1.116994760746317983e+00,3.827977605350194046e-01
1.630841381946815494e+00,4.900639492895363450e-03,7.422436256823569112e-01,3.421013476823439037e-01,7.558816671583128421e-01,-4.208722233250862810e-01,1.034346383392663604e-01
-7.567554103841309665e-01,-6.669268665584326961e-01,-7.160163076949626060e-01,-1.570801207414089573e+00,-1.270061364817990368e+00,9.333476497063446509e-01,-7.010483066368116134e-01
3.772446067920932067e-01,-2.719934975759024653e-01,2.361628758875766732e-01,-6.463844692452180851e-01,-1.001965469668868874e-01,3.480300153213233827e-01,-2.736776037932682204e-01
-1.008331172983653934e+00,-1.380465073679420784e-01,-3.985176915601023606e-01,-6.930928360170587332e-01,-4.461943252927079717e-01,5.670033120143017774e-02,-2.603033239850311431e-01
-4.140323170634326866e-01,-1.451455493406709762e-01,-4.212936798212827405e-01,-2.382981874159629809e-01,-2.766060622360503318e-01,-1.482786783910729156e+00,-4.250166226024903460e-01
4.714907045293301180e-01,-4.306784427583696395e-01,-4.278910668243805782e-02,5.268960442007386558e-01,2.321534655093582256e-01,-2.276769649531902584e-01,1.960191961420305606e-01
7.647238119786180510e-01,1.045891025634006211e-01,3.987776158575035979e-01,-3.503229180005219129e-02,2.327305515069795216e-01,-2.681002417304109153e-01,-2.054629567281873181e-01
-1.455724824388167082e+00,-9.417530973781933490e-01,-1.226964997412189007e+00,-2.635249965554478546e+00,-2.027571925456835622e+00,-1.161554894429948748e+00,-1.498646908837307334e+00
8.717964978142739296e-01,-3.629928552979850287e-01,9.235625188789398088e-02,3.414726973198964344e-01,1.975257514480752985e-01,-1.344300182823336687e-01,7.625706175677623988e-02
8.264037016510602518e-01,-6.400629451293597949e-01,-9.915112083522853448e-02,1.123176132137591487e+00,5.155466018607923750e-01,-1.432266158574932113e+00,8.229438313289338947e-02
8.294098777803455835e-01,2.291694273377554714e-01,5.612596794157466151e-01,7.556757680331478433e-01,6.417497113891171834e-01,-5.365684274219145733e-02,4.061645326303564563e-01
4.001252378745850935e-01,-5.454450937091999130e-01,-1.104579657063850529e-01,-9.516956684815162104e-01,-6.757697017831406638e-01,-8.955728344430732291e-01,-6.546299252948507563e-01
-5.273765878484579228e-02,1.328711805108804045e+00,4.515251886895149669e-01,-1.204426507154304993e+00,-3.123569563996705378e-01,-1.216524278469794940e+00,-8.074144594492120852e-01
-1.345267977867437015e+00,9.018404466448809442e-02,-6.577391506547383138e-01,5.464224174917297061e-01,-5.632954262509486110e-02,-8.924817050516171690e-01,-2.377066630524564406e-02
-3.120784574380604526e-01,1.408747515104699977e+00,7.004348965649638270e-01,1.213031122857606725e+00,8.987002119658303867e-01,-1.168235411302675830e+00,3.176044877367899533e-01
1.697571628329559212e+00,-3.454405037443237791e-01,6.468864074402060904e-01,1.401619869168644117e+00,1.035073949360553414e+00,-5.139420759171071662e-01,5.607339057292445306e-01
-4.876660705325354672e-01,4.754858306704915494e-01,4.678729783623128413e-02,-1.857146193052980454e+00,-9.376232174235860084e-01,-1.481769029470617172e+00,-1.315824223377998203e+00
-6.803560635522734046e-01,1.110950994338599118e+00,1.714787382259318482e-01,3.630131088962367802e-01,1.894524192601015899e-01,7.045539571844253723e-01,3.430969763154942398e-01
1.525693991844638164e+00,3.186579852411200453e-01,9.590597940626562901e-01,-1.037325193331409379e+00,-1.436460406405882795e-01,8.255304517874154646e-01,-2.940239869055452648e-01
2.225246020283103920e+00,-1.231171811372475000e+00,5.368098886861165653e-01,2.586305789985297587e-01,3.424437026174005361e-01,-3.345646218280078771e-02,3.509976832786858292e-02
2.280615043283596988e-01,-1.901164354119571964e+00,-7.463580067743651458e-01,2.153122529946185915e-01,8.346193022662018457e-02,-7.369270188679465372e-01,-1.313601014338710016e-01
-6.714041211610478621e-01,3.239381436345561971e-01,-2.054785633777324594e-01,-2.966473267671236869e-01,-2.741639494327755555e-01,7.932474617490903324e-01,-3.881871007738202373e-02
-1.108707952613719350e+00,-1.619018447065420530e+00,-1.425477137564217678e+00,2.229649437071044904e+00,3.984981759110353683e-01,-1.160001352623324378e+00,9.841430482897122189e-01
-2.609487207417513499e-01,1.236042771325205125e+00,5.083306214672098644e-01,-1.175611550327789523e+00,-4.537789068981463170e-01,-3.214729959512111490e-01,-6.272794695338825832e-01
-4.184497432559048519e-02,1.812817727730191342e+00,9.276648696971045993e-01,-2.477482959794774786e-01,3.683905774614795181e-01,3.324772841748866448e-01,-7.424619773471155537e-02
1.827520720941657961e+00,2.631522434219827566e+00,2.137207478676206307e+00,1.924981698822691642e-02,1.053569448619112059e+00,-4.282465037291172671e-01,-1.610152089681577137e-01
-1.448643586367744263e+00,2.147225171938269561e-01,-6.299208012943806612e-01,2.086247039206635012e+00,5.870728216320203474e-01,7.399023832904992881e-01,1.349188849214307151e+00
3.287677724890782360e-01,1.383994086100871768e-01,2.963257210333806180e-01,1.335438536696533507e-01,2.319077707290030377e-01,-9.918909139403544462e-01,-8.448637590125139540e-02
8.371878025815537860e-01,7.834202524056025352e-01,7.014785847122132489e-01,1.584527394372339915e+00,1.144665562699986872e+00,2.885457283557512631e-01,9.940204167925748013e-01
8.597951305360160834e-01,-7.361618027473766368e-01,9.919459914365362507e-02,1.165727390477332870e+00,6.786673020547817625e-01,1.888649845357068535e-01,6.833668938093269141e-01
6.320785329314461132e-01,2.564932497509941900e-01,3.500258404123252620e-01,2.246702016704222871e+00,1.120147527419634859e+00,1.185304747116468355e-01,1.202009802522069792e+00
1.099430594837625730e+00,3.460321878932460793e-01,6.271252306359116346e-01,-1.148161508178136891e+00,-2.130788442423717788e-01,-9.269403769373435464e-01,-9.266633498609708752e-01
-1.757024495750495907e+00,-2.639780228916396299e-01,-1.083889069484318624e+00,-7.352823869783156052e-01,-7.859697624968485785e-01,-1.838277694378024352e-01,-3.306343415544955588e-01
1.630157564394784542e+00,5.029232059658585996e-01,1.027309049396241347e+00,1.873244187911492276e+00,1.403502324646560551e+00,1.874064229808128035e+00,1.257783487793516564e+00
-2.572224049641068100e-01,-5.831688665649993331e-01,-5.822278063915820034e-01,6.655132020067492382e-01,2.029395684596253524e-01,1.547125890091453737e+00,8.490259251509523208e-01
-3.340173765774959169e-01,-1.054956326177387549e+00,-7.079795209535604261e-01,-7.217455717489192901e-01,-6.043247772494941827e-01,-7.603455780596791724e-01,-6.240078431235627221e-01
1.156158141981034726e+00,8.544068183203069600e-01,9.999219787597538600e-01,1.490438737646867073e+00,1.252917820210204480e+00,9.588730656946928832e-01,1.068415897037163553e+00
-4.664317786774894725e-01,-8.421719657794196623e-01,-7.388924381475606706e-01,-6.630724864460684209e-01,-5.741184365967459957e-01,3.138923782792829575e-01,-4.212674005872793503e-01
1.008714313387548689e+00,1.090102048902220400e+00,1.110293301399759125e+00,6.195669384162182380e-01,8.741782288023079994e-01,1.198470777000770537e+00,5.881969577986491116e-01
1.305425770838283483e+00,-8.154264540897231406e-01,9.349485178863584101e-02,-1.559453500859353303e+00,-6.956019858185504834e-01,2.057258516935678294e+00,-1.960909681484250267e-01
1.906813089016286655e+00,-1.346868820586423210e+00,1.662701107421087898e-01,7.065596240782460180e-01,5.078297261697833909e-01,1.925892506113245639e-02,3.958931944978124062e-01
-4.361895309473467486e-01,2.662509141386848466e-01,-1.734123613619532878e-01,-7.090407326919277997e-01,-3.289469620419901985e-01,-2.459906062262410265e-01,-3.295015005486258697e-01
2.871618223017880639e-02,-2.257270562760161636e-01,-1.513480296538460002e-01,7.892201649339041225e-01,3.791485365904654903e-01,-3.689102844160664918e-01,1.748890967114192785e-01
-1.438140947098377032e+00,-6.184327334905022067e-01,-1.030316383434034977e+00,-1.183603713850623684e+00,-1.048527991223232370e+00,6.051400294718898287e-01,-4.845692709469872073e-01
-3.973536493283155169e-01,-1.108407517415385263e-01,-2.653826064874778012e-01,1.322596147278573553e-02,-1.159136077258660080e-01,2.680236906833339261e-01,9.366616300160605924e-02
3.065493746644452955e+00,2.330325493480719934e-01,1.756441165850543218e+00,6.549610803334030562e-01,1.003137716335014140e+00,-1.290598451037543892e+00,4.005382831043118735e-02
